product_key,search_query,brand,model,capacity,storage_type,form_factor,interface,shopee_query,ads_count,best_price_brl,avg_price_brl,max_price_brl,total_sold,max_rating,total_reviews,best_title,best_url,best_mlb_id,source_pages,grouped_titles
kingston|nv3|1tb|nvme,ssd nvme,Kingston,NV3,1TB,NVMe,2280,,Kingston NV3 1TB NVMe 2280,25,986.0,1195.28,3111.0,15375,,0,Ssd M.2 2280 Nvme Kingston 1tb Nv3 Snv3s/1000g Pci-e Gen 4.0,https://www.mercadolivre.com.br/ssd-m2-2280-nvme-kingston-1tb-nv3-snv3s1000g-pcie-gen-40/up/MLBU3316809234#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&float_highlight=last_units&tracking_id=08babc82-d0ae-4619-8af4-094748010b85&wid=MLB5512450958&sid=search,MLB5512450958,1;10;3;4;5;6;7;8,"Ssd Kingston Nv3 1tb Nvme 4.0 Azul Escuro 2280 6000mb/s SNV3S/1000G || Ssd M.2 Nvme 4.0 1tb Kingston Nv3 2280 6000mb/s E 4000 Mb/s || Ssd M.2 2280 Nvme Kingston 1tb Nv3 Snv3s/1000g Pci-e Gen 4.0 || Ssd Nvme Kingston 1tb Nv3 M.2 2280 Pcie 4.0 Nf-e Cor Ssd Nvme M.2 2280 Kingston 1tb || Ssd Kingston Nv3, 1tb, M.2 2280, Pcie Nvme, Leitura 6000mb/s || Ssd Kingston Nv3 1tb Nvme 4.0 2280 6000mb/s Novo Lacrado || Ssd M.2 Kingston Nv3 1tb Nvme 6000/4000 Mb/s || Ssd Kingston Nv3 1tb Nvme 4.0 Azul Escuro 2280 6000mb/s Snv3s/1000g"
western digital|2tb|nvme,ssd nvme,Western Digital,,2TB,NVMe,M.2,PCIe 4.0,Western Digital 2TB NVMe M.2 PCIe 4.0,20,1450.0,2701.75,3999.0,725,,0,Ssd 2tb M.2 2280 Nvme Pcie Gen3 Western Digital Wd Green Sn3,https://www.mercadolivre.com.br/ssd-2tb-m2-2280-nvme-pcie-gen3-western-digital-wd-green-sn3/up/MLBU3953646625#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=32&type=product&tracking_id=d56a1c56-080b-4031-b7b5-0e9e83f9199d&wid=MLB6756712074&sid=search,MLB6756712074,1;10;2;3;4;6;7;8;9,SSD m.2 2TB NVMe PCIe Gen 4.0 WD Black SN7100 Western Digital WDS200T4X0E-00CJA0 Velocidade de Leitura Até 7250MB/s e Gravação Até 6900MB/s Internal Gaming 2280 Cor Preto || Wd Green Ssd Nvme 2tb M.2 Pcie Gen4 Wd Jogos Pc Notebook || SSD NVMe WD Blue SN5000 2TB M.2 2280 PCIe 4.0 5150MB/s || Ssd M.2 Pcie 4.0 2tb Nvme Wd Green Leitura Até 5000mb/s || Ssd Wd Black Sn850x 2tb Nvme M2 2280 - Wds200t2x0e Cor Preto || Wd Blue Sn5100 2tb Internal Ssd Pcie Gen 4 X4 Nvme || Ssd 2tb M.2 2230 Wd Black Sn770m 2000gb Nvme 5150mb/s || Wd_black 2tb Sn850p Nvme M.2 Ssd Officially Licensed Storage
sandisk|plus|2tb|nvme,ssd nvme,Sandisk,Plus,2TB,NVMe,M.2,PCIe 3.0,Sandisk Plus 2TB NVMe M.2,17,1448.0,2056.0,2300.0,1025,,0,Ssd Sandisk Plus 2tb M.2 2280 Pcie Gen3 Nvme,https://www.mercadolivre.com.br/ssd-sandisk-plus-2tb-m2-2280-pcie-gen3-nvme/p/MLB34122260#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB6323184398&sid=search,MLB6323184398,1;10;2;3;4;5;6;7;8;9,Ssd 2tb Sandisk Plus M.2 2280 Pcie Gen3 Nvme || Ssd Sandisk Plus 2tb M.2 2280 Pcie Gen3 Nvme || Ssd Sandisk Plus 2tb M.2 2280 Pcie Gen3 Nvme + Vendido || Ssd M2 Nvme 2280 2tb Sandisk G26 Plus 3200mb/s Sdssda3n-2t00 || Ssd M.2 2tb Sandisk Plus Nvme Pcle Gen3 Leitura 3200mbs E Gr || Ssd Sandisk Plus M.2 Nvme Pcie Gen 3.0 2tb || Ssd Sandisk Plus 2tb M.2 2280 Pcie Gen3 Nvme Preto || Hd Ssd M.2 Sandisk Plus 2tb Nvme Gen3 3200mb/s
kingston|nv3|500gb|nvme,ssd nvme,Kingston,NV3,500GB,NVMe,M.2,,Kingston NV3 500GB NVMe M.2,15,712.0,845.47,1059.0,12025,,0,SSD Kingston NV3 500GB M2 2280 NVME PCIe 4.0 Gen 4x4 Ultra Rápido,https://www.mercadolivre.com.br/ssd-kingston-nv3-500gb-m2-2280-nvme-pcie-40-gen-4x4-ultra-rapido/p/MLB39410080#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=29&type=product&tracking_id=de41043e-a9fc-4271-ae07-41e85aa4c8bc&wid=MLB6807257084&sid=search,MLB6807257084,1;10;2;3;4;5;7;8;9,"Ssd M.2 Nvme 500gb 2280 Nv3 Kingston || Ssd M.2 Nvme Pci-e Gen 4.0 500gb Kingston Nv3 Ssnv3s/500g Cor || SSD Kingston NV3 500GB M2 2280 NVME PCIe 4.0 Gen 4x4 Ultra Rápido || Unidade Sólida Kingston Nv3 Nvme Pcie 4.0 500 Gb Ssd Azul || Ssd M.2 Nvme 2280 Kingston 500gb Nv3 Snv3s/500g Original Pci-e Gen 4.0 Formato M.2 2280 Velocidade De Leitura Até 5000 Mb/s E Gravação Até 3000 Mb/s || SSD Kingston Nv3 500gb Nvme Pcie 4.0 2230, 5000/3000MB/s de leitura/gravação || Ssd Kingston Nv3 500gb M2 2280 Nvme Pcie 4.0 Gen 4x4 Ultra R || Ssd M.2 500gb Pci-e Gen 4.0 Nvme Kingston Nv3 5000 Mb/s"
western digital|1tb|nvme,ssd nvme,Western Digital,,1TB,NVMe,M.2,PCIe 5.0,Western Digital 1TB NVMe M.2 PCIe 5.0,14,1398.0,2090.29,2899.0,2350,,0,SSD WD_BLACK SN7100 1 TB M.2 2280 NVMe PCIe Gen 4.0 para Notebook e PC,https://www.mercadolivre.com.br/ssd-wdblack-sn7100-1-tb-m2-2280-nvme-pcie-gen-40-para-notebook-e-pc/p/MLB48078783#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=44&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB5469234314&sid=search,MLB5469234314,1;10;5;6;7;8;9,Ssd Wd Black 1tb Sn8100 M.2 Nvme Pcie Gen5 Gamer Desempenho || SSD WD_BLACK SN7100 1 TB M.2 2280 NVMe PCIe Gen 4.0 para Notebook e PC || Ssd M.2 2230 Wd Black Western Digital Sn770m 1tb 1000gb Nvme Wds100t3x0g-00chy0 Velocidade De Leitura 5150mb/s Cor Preto || Ssd M.2 1tb Pcie Gen4x4 Western Digital Sn850x Wd Black Nvme M.2 2280 Wds100t2xhe-00bca0 Velocidade De Leitura Até 7300 Mb/s C/ Dissipador Cor Preto || Ssd Wd Red Nas Sn700 1tb Nvme M.2 2280 - Wds100t1r0c Cor Vermelho || Ssd 1TB M.2 2280 Nvme Pcie Gen 4x4 Western Digital Wd Black Sn770 WDS100T3X0E Velocidade De Leitura Até 5150mb/s Gravação Até 4900mb/s Compatível Com Pc E Notebook Disco Sólido Interno Cor Preto || Ssd Wd_black 1tb Sn770m M.2 2230 Nvme Para Jogos Portáteis || Ssd 1tb M.2 2280 Nvme Pcie 4.0 Gen4 Wd Black Sn7100
memoria|ram|kingston|fury|beast|32gb,memoria ram ddr5,Kingston,,32GB,,,,Kingston 32GB,13,3000.0,3760.69,4499.0,300,,0,Memória RAM Kingston Fury Beast 32 GB Ddr5 preta Rgb Cl38/v,https://www.mercadolivre.com.br/memoria-ram-kingston-fury-beast-32-gb-ddr5-preta-rgb-cl38v/p/MLB25955837#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=39&type=product&tracking_id=56117de3-36d7-4e30-9300-18626952aaf7&wid=MLB6912530602&sid=search,MLB6912530602,1;10;2;3;5;8;9,"Memória Ram Pc 32gb Kingston Fury Beast Ddr5 Kf560c36bbe-32 || Memória RAM Kingston Fury Beast 32 GB Ddr5 preta Rgb Cl38/v || Memória Ram Kingston Fury Beast Rgb 32gb Cl36kf560c36bbea32 || Memória Ram Kingston Fury Beast Ddr5 6000mhz 32gb(2x16) Cl30 || Memória RAM Kingston Fury Beast Rgb Expo Ddr5 32gb 6000mt/s || Memória Ram Kingston Fury Beast White Rgb 32gb Ddr5 6000mt/s || Memória Ram Kingston Fury Beast Rgb, 32gb, Ddr5, Cl30 || Memória Ram 32gb Kingston Fury Beast Expo Rgb Ddr5 6000mhz"
samsung|990 pro|2tb|nvme,ssd nvme,Samsung,990 Pro,2TB,NVMe,M.2,PCIe 4.0,Samsung 990 Pro 2TB NVMe M.2 PCIe 4.0,12,2999.0,3631.33,4725.0,1500,,0,"SSD Samsung 990 PRO 2TB Heatsink M.2 2280 NVMe PCIe Gen4, até 7450MB/s leitura e 6900MB/s gravação, compatível com PlayStation 5 – MZ-V9P2T0CW",https://www.mercadolivre.com.br/ssd-samsung-990-pro-2tb-heatsink-m2-2280-nvme-pcie-gen4-ate-7450mbs-leitura-e-6900mbs-gravaco-compativel-com-playstation-5-mz-v9p2t0cw/p/MLB29471004#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=38&type=product&tracking_id=bb27f9e2-487c-4e32-bae2-cfa857d23c11&wid=MLB4683839501&sid=search,MLB4683839501,10;2;3;4;5;6;7;9,"Samsung 990 Pro MZ-V9P2T0B/AM 2 TB PCIe 4.0 NVMe M.2 || SSD Samsung 990 PRO 2TB Heatsink M.2 2280 NVMe PCIe Gen4, até 7450MB/s leitura e 6900MB/s gravação, compatível com PlayStation 5 – MZ-V9P2T0CW || Samsung Ssd 990 Pro M.2 Nvme Pci-e 2tb Lacrado Original || Samsung Ssd 990 Pro M.2 Nvme Pci-e 2tb P/ Pc Gamer || Samsung Ssd 990 Pro M.2 Nvme Pci-e 2tb Mz-v9p2t0b/am || Ssd 2tb M.2 Samsung 990 Pro Pci-e Nvme Gen4 Leituras 7450mb/s E Gravações 6900mb/s Mz-v9p2t0b/am || Ssd Samsung 990 Pro Nvme Pcie 4.0 2tb 7450mb/s Mz-v9p2t0b/am || M.2 Samsung 990 Pro Pci-e Nvme Gen4 2tb Leituras: 7450mb/s E"
sandisk|plus|1tb|nvme,ssd nvme,Sandisk,Plus,1TB,NVMe,M.2,,Sandisk Plus 1TB NVMe M.2,11,899.0,1256.82,3174.0,10000,,0,Ssd M.2 1tb Sandisk Plus Nvme 2280,https://www.mercadolivre.com.br/ssd-m2-1tb-sandisk-plus-nvme-2280/p/MLB32362095#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB5762099134&sid=search,MLB5762099134,1;10;2;4;5;6;7,Ssd M.2 1tb Sandisk Plus Nvme 2280 || Ssd M.2 1tb Interno Sandisk Plus Nvme 2280 Para Pc/notebook || Ssd M.2 1tb Sandisk Plus Nvme Pcie Gen3.0 Sdssda3n-1t00-g26 || Ssd M.2 1tb Sandisk Plus Nvme Pcle 3.0 Leitura: 3200mb/s - Sdssda3n-1t00-g26 || Ssd 1tb M2 Nvme 2280 Sandisk Plus 3200mb/s Sdssda3n-1t00-g26 || Ssd Sandisk Plus 1tb M.2 Nvme Pcie 3.0 Leitura 3200mbs || Ssd M.2 1tb Sandisk Plus Nvme 2280 Azul-marinho
memoria|ram|kingston|fury|beast|16gb,memoria ram ddr5,Kingston,,16GB,,,,Kingston 16GB,11,1750.0,2012.09,2549.0,450,,0,Memória RAM Kingston Fury Beast Expo Ddr5 16 GB 5600 mt/s Cl36,https://www.mercadolivre.com.br/memoria-ram-kingston-fury-beast-expo-ddr5-16-gb-5600-mts-cl36/p/MLB25733728#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=product&tracking_id=f50bf2fb-feca-41a9-892d-623a7542606a&wid=MLB6200881578&sid=search,MLB6200881578,1;10;3;4;6;7;9,Memória RAM Kingston Fury Beast Rgb 16gb 5600mts Ddr5 Cl40 || Memória RAM Kingston Fury Beast Expo Ddr5 16 GB 5600 mt/s Cl36 || Memória RAM Kingston Fury Beast 1 x 16GB DDR5 5200mhz Preto KF552C40BB-16 || Memória Ram Kingston Fury Beast Rgb Expo Ddr5 16gb 6000mt/s || Memória Ram Kingston Fury Beast Expo Ddr5 16gb 5600mt/s Cl36 || Memória Ram Kingston Fury Beast Rgb 16gb 5600mts Ddr5 || Memória Ram Kingston Fury Beast Ddr5 16gb 6000mhz Rgb || Memória Ram 16gb Kingston Fury Beast Rgb Ddr5 6000mhz Cl36
memoria|ram|para|ddr5|5600mhz|16gb,memoria ram ddr5,Kingston,,16GB,,,,Kingston 16GB,10,1549.0,1738.7,2518.0,12550,,0,Memoria Ram Para Notebook Ddr5 16gb 5600mhz Cl46 Crucial Ct1,https://www.mercadolivre.com.br/memoria-ram-para-notebook-ddr5-16gb-5600mhz-cl46-crucial-ct1/up/MLBU3925040942#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=product&tracking_id=56117de3-36d7-4e30-9300-18626952aaf7&wid=MLB6662357672&sid=search,MLB6662357672,1;2;4;5;8,Memória RAM Para PC DDR5 5600mhz Cl40 16GB 1x16gb Kingston Fury Beast KF556C40BB-16 PC Gamer Cor Preto || Memoria Ram Para Notebook Ddr5 16gb 5600mhz Cl46 Crucial Ct16g56c46s5 Sodimm Preto || Memoria Ram Para Notebook Ddr5 16gb 5600mhz Cl46 Crucial Ct1 || Memória Ram Para Pc Ddr5 16gb 5600mhz Cl46 Crucial Basics Ct16g56c46u5 Desktop Udimm Preto || Memória RAM Para Pc Gamer DDR5 16gb 5600Mhz CL40 Kingston Fury Beast KF556C40BBA/16 RGB Desktop Udimm || Memória Ram Para Pc Ddr5 16gb 5600mhz Cl46 Ct16g56c46u5 || Memória Ram Para Pc Ddr5 5600mhz Cl40 16gb 1x16gb Kingston F || Memória Ram Para Notebook Ddr5 16gb 5600mhz Adata Cl46 Preto
memoria|corsair|vengeance|rgb|2x16gb|32gb,memoria ram ddr5,Corsair,,32GB,,,,Corsair 32GB,10,3499.0,5179.8,7999.0,575,,0,Memória Corsair Vengeance Rgb 32gb 2x16GB Ddr5 6000mhz,https://www.mercadolivre.com.br/memoria-corsair-vengeance-rgb-32gb-2x16gb-ddr5-6000mhz/p/MLB29900563#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=5d5dc4a3-5a6e-4338-97b3-629ff4d24a24&wid=MLB6837146304&sid=search,MLB6837146304,1;10;4;5;8;9,Memória Corsair Vengeance Rgb 32gb 2x16GB Ddr5 6000mhz || Memória Corsair Vengeance Rgb 32gb 2x16gb 6000mhz Ddr5 Expo || Memória Corsair Vengeance Rgb 32gb 2x16gb 5600mhz Ddr5 || Memória Corsair Vengeance Rgb 32gb 2x16gb Ddr5 6200mhz Cl36 || Memória Corsair Vengeance Rgb 32gb 2x16gb 6000mhz Ddr5 || Memória Corsair Vengeance Rgb 32gb 2x16gb 6200mhz Ddr5 || Memória Corsair Vengeance Rgb 32gb 2x16gb 6000mhz Ddr5 Amd
western digital|wd green sn350|2tb|nvme,ssd nvme,Western Digital,WD Green SN350,2TB,NVMe,M.2,PCIe 3.0,Western Digital WD Green SN350 2TB NVMe M.2,9,1489.0,1906.56,2170.0,1575,,0,SSD NVMe Western Digital WD Green SN350 Wds200t3g0c 2TB azul,https://www.mercadolivre.com.br/ssd-nvme-western-digital-wd-green-sn350-wds200t3g0c-2tb-azul/p/MLB19920206#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=product&tracking_id=de41043e-a9fc-4271-ae07-41e85aa4c8bc&wid=MLB4736023467&sid=search,MLB4736023467,1;2;4;5;6;7,Ssd 2tb M.2 2280 Nvme Pcie Gen3 Western Digital WD Green SN350 Wds200t3g0c Velocidade De Leitura Até 3200mb/s Cor Verde Disco Sólido Interno || SSD NVMe Western Digital WD Green SN350 Wds200t3g0c 2TB azul || Ssd Wd Green Sn350 2tb Nvme Pcie Gen3 8gb/s || Ssd M.2 2280 2tb Wd Green Sn350 Nvme || Hd Ssd Wd Green Sn350 2tb M.2 Pci-e Nvme Gen3 || Ssd Wd Green Sn350 2tb M.2 Pci-e Nvme Pcie Gen3 8gb/s || Ssd M.2 2tb Pci-e X4 3200mb/s Nvme Wd Green Sn350 Western || Ssd Wd Green Sn350 M.2 2280 Nvme De 2tb Pcie Gen3 X4
kingston|nv3|2tb|nvme,ssd nvme,Kingston,NV3,2TB,NVMe,M.2,PCIe 4.0,Kingston NV3 2TB NVMe M.2 PCIe 4.0,8,1789.0,2108.88,2575.0,5250,,0,Ssd M.2 Nvme 2280 Kingston 2tb Nv3 Snv3s/2000g Pci-e Gen 4.0 Formato M.2 2280 Velocidade De Leitura Até 6000 Mb/s E Gravação Até 5000 Mb/s Cor Azul,https://www.mercadolivre.com.br/ssd-m2-nvme-2280-kingston-2tb-nv3-snv3s2000g-pci-e-gen-40-formato-m2-2280-velocidade-de-leitura-ate-6000-mbs-e-gravaco-ate-5000-mbs-cor-azul/p/MLB40337438#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=40&type=product&float_highlight=last_units&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB4477790147&sid=search,MLB4477790147,1;2;3;5;6;7;8,Ssd M.2 Nvme 2280 Kingston 2tb Nv3 Snv3s/2000g Pci-e Gen 4.0 Formato M.2 2280 Velocidade De Leitura Até 6000 Mb/s E Gravação Até 5000 Mb/s Cor Azul || Ssd 2tb Kingston Nv3 Formato M.2 2280 Nvme 4.0 Gen Pci-e || Ssd M.2 Nvme 2280 Kingston 2tb Nv3 Pci-e Gen 4.0 6000mb/s || Ssd Kingston 2tb Nv3 M.2 2280 Nvme Leitura 6000mb/s Pcie 4. || Ssd Kingston 2tb Nv3 Nvme M.2 2280 Gen 4.0 Snv3s/2000g || Ssd M.2 2280 Nvme 2tb Kingston Nv3 Pcle 4.0 Original Lacrado || Ssd M.2 Nvme 2280 Kingston 2tb Nv3 Snv3s/2000g Pci-e Gen 4.0 || Hd Ssd M.2 Kingston Nv3 Pci-e 4.0x4 Nvme 2tb - Snv3s/2000g
memoria|kingston|fury|beast|ddr5|16gb,memoria ram ddr5,Kingston,,16GB,,,,Kingston 16GB,8,1899.0,2503.38,3599.0,10000,,0,Memoria Kingston Fury Beast 16gb Ddr5 6400mhz C32 Rgb,https://www.mercadolivre.com.br/memoria-kingston-fury-beast-16gb-ddr5-6400mhz-c32-rgb/up/MLBU4051729690#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=45&type=product&tracking_id=562aabe2-6ce9-4448-9307-05df0136e546&wid=MLB4735194595&sid=search,MLB4735194595,10;4;6;7;9,Memória Kingston Fury Beast Ddr5 16gb 6800mhz Rgb Kf568 || Memória Kingston Fury Beast Ddr5 16gb 6800mhz Preto Com Rgb || Memoria Kingston Fury Beast DDR5 2x 16Gb 5600 Desktop KF556C40BBK2 || Memória Kingston Fury Beast 16gb Ddr5 6000mhz - branca || Memoria Kingston Fury Beast Ddr5 2x 16gb 5600 Desktop || Memória Kingston Fury Beast Ddr5 16gb 6800mhz Rgb || Memória Kingston Fury Beast 16gb Ddr5 5600mts Cl36 || Memoria Kingston Fury Beast 16gb Ddr5 6400mhz C32 Rgb
up gamer|1tb|nvme,ssd nvme,Up Gamer,,1TB,NVMe,M.2,PCIe 3.0,Up Gamer 1TB NVMe M.2,7,919.0,1072.71,1139.0,1000,,0,Ssd M.2 Nvme 1tb Up Gamer Up2000 Preto Interno Pc Videogames,https://www.mercadolivre.com.br/ssd-m2-nvme-1tb-up-gamer-up2000-preto-interno-pc-videogames/up/MLBU3831197918#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=36&type=product&tracking_id=d56a1c56-080b-4031-b7b5-0e9e83f9199d&wid=MLB4508693579&sid=search,MLB4508693579,1;4;5;8;9,SSD NVMe M.2 2280 Interno 1TB PCIe Gen3 Leitura 3000MB/s Armazenamento Para Desktop Notebook Alta Velocidade Disco Sólido Upgrade Sistema Boot Rápido Compatível Windows Linux - UP Gamer || Hd Ssd M.2 Nvme 1tb Up Gamer Up2000 Upgamer || Ssd M.2 Nvme 1tb Up Gamer Up2000 Preto Interno Pc Videogames
crucial|e100|2tb|nvme,ssd nvme,Crucial,E100,2TB,NVMe,,PCIe 4.0,Crucial E100 2TB NVMe PCIe 4.0,7,1569.0,1679.57,1825.0,100,,0,Ssd Crucial E100 2tb Pcie Gen4 Nvme M.2 Velocidade 5000 Mb/s,https://www.mercadolivre.com.br/ssd-crucial-e100-2tb-pcie-gen4-nvme-m2-velocidade-5000-mbs/up/MLBU3858172974#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=51&type=product&tracking_id=bb27f9e2-487c-4e32-bae2-cfa857d23c11&wid=MLB4543005187&sid=search,MLB4543005187,2;3;4;5;6;7,Crucial Nvme E100 2TB Ct2000e100ssd8 Pcie Gen4 Verde || Ssd Crucial E100 2tb Pcie Gen4 Nvme M.2 Velocidade 5000 Mb/s || Ssd M.2 2tb Crucial E100 2280 Nvme Ct2000e100ssd8 || Ssd Crucial E100 2tb Pcie Gen4 Nvme M.2 Velocidade 5000 Mb/s Verde || Ssd M.2 2tb Nvme Gen4 5000mb/s Crucial E100 Alta Velocidade || Ssd Crucial E100 2tb Pcie Gen4 Nvme M.2 Velocidade 5000 Mb/s Verde Verde
samsung|990 pro|1tb|nvme,ssd nvme,Samsung,990 Pro,1TB,NVMe,M.2,PCIe 4.0,Samsung 990 Pro 1TB NVMe M.2 PCIe 4.0,7,1889.0,2294.43,2735.0,1250,,0,"SSD Samsung 990 PRO 1TB, M.2 2280, NVMe PCIe Gen 4.0x4, MLC V-NAND, Leitura até 7450MB/s, Gravação até 6900MB/s, Modelo MZ-V9P1T0B/AM",https://www.mercadolivre.com.br/ssd-samsung-990-pro-1tb-m2-2280-nvme-pcie-gen-40x4-mlc-v-nand-leitura-ate-7450mbs-gravaco-ate-6900mbs-modelo-mz-v9p1t0bam/p/MLB23074847#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=bb27f9e2-487c-4e32-bae2-cfa857d23c11&wid=MLB7071417940&sid=search,MLB7071417940,10;2;3;5;6;8,"SSD Samsung 990 PRO 1TB Heatsink NVMe M.2 PCIe 4.0 com Velocidade até 7450 MB/s Compatível com PlayStation 5 PS5 Modelo MZ-V9P1T0CW || SSD Samsung 990 PRO 1TB, M.2 2280, NVMe PCIe Gen 4.0x4, MLC V-NAND, Leitura até 7450MB/s, Gravação até 6900MB/s, Modelo MZ-V9P1T0B/AM || Ssd Samsung 990 Pro M.2 2280 Nvme 1tb Pcie Gen 4.0 X4 Nvme 2.0 Compatível Com Ps5 Cor Preto || Ssd Samsung 990 Pro M.2 2280 Nvme De 1tb Interface: Pcie Gen 4.0 X4 Leitura Sequencial Até 7.450 Mb/s ,gravação Sequencial Até 6.900 Mb/s Cor Preto || Ssd Samsung 990 Pro 1tb, M.2 2280, Nvme Pcie Gen 4.0x4 || Ssd Samsung 990 Pro Pcie 4.0 Nvme 2.0 Ssd 1tb P/ Note E Pc Gamer Cor Preto || Ssd Samsung M.2 Nvme 1tb 990 Pro Pcie 4.0 7450mb/s"
winmemory|256gb|nvme,ssd nvme,WinMemory,,256GB,NVMe,M.2,PCIe 4.0,WinMemory 256GB NVMe M.2 PCIe 4.0,6,298.0,340.83,394.0,2300,,0,Ssd Winmemory 256gb M.2 2280 Nvme 2500mbs/2100mbs Oem Azul,https://www.mercadolivre.com.br/ssd-winmemory-256gb-m2-2280-nvme-2500mbs2100mbs-oem-azul/p/MLB66680056#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=36&type=product&tracking_id=c527baac-dc15-4d5d-b37b-2defcf7c4000&wid=MLB4794239589&sid=search,MLB4794239589,1;4;6,SSD M.2 256GB WinMemory PCIe 4.0 Gen3 NVMe Alta Velocidade || Ssd Winmemory 256gb M.2 2280 Nvme Pcie 2280/1100mb/s || Ssd Winmemory 256gb M.2 2280 Nvme 2500mbs/2100mbs Oem Azul || Ssd Winmemory 256gb M.2 2280 Nvme 2500mbs/2100mbs Oem || Ssd M.2 256gb Winmemory Pcie 4.0 Gen3 Nvme Alta Velocidade
kingston|1tb|nvme,ssd nvme,Kingston,,1TB,NVMe,M.2,PCIe,Kingston 1TB NVMe M.2,6,1100.0,1690.67,2259.0,1525,,0,Ssd Kingston Kc3000 De 1 Tb Nvme Pcie 4.0 X4 M.2 2280 Para Pc E Notebook,https://www.mercadolivre.com.br/ssd-kingston-kc3000-de-1-tb-nvme-pcie-40-x4-m2-2280-para-pc-e-notebook/p/MLB70261003#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=45&type=product&tracking_id=d56a1c56-080b-4031-b7b5-0e9e83f9199d&wid=&sid=search,MLB70261003,10;6;8;9,"Ssd M.2 1tb Kingston NVMe PCIe 4x4 Com Dissipador Fury Renegade SFYRSK/1000G Velocidade de Leitura Até 7300mb/s Gravação Até 6000mb/s Interno Cor Preto || Ssd 1tb Kingston Nvme M.2 2280 Leitura 3500mbs Gravação 2100 || Ssd 1tb Kingston Fury Renegade G5, Pcie 5.0, M.2 Nvme, 2280, Leitura 14.200mbs E Gravação 11.000mbs, Sfyr2s/1t0 || Ssd Kingston Kc3000 De 1 Tb Nvme Pcie 4.0 X4 M.2 2280 Para Pc E Notebook || Ssd Interno 1tb M.2 Nvme Kingston Pcie Gen 4.0 Leitura 6000mb/s Gravação 4000mb/s Formato 2280- Cor Azul-aço || Ssd Kingston Kc3000 1tb M.2 2280 Pcie 4.0 Nvme"
memoria|ram|corsair|vengeance|ddr5|32gb,memoria ram ddr5,Corsair,,32GB,,,,Corsair 32GB,6,2700.0,3439.67,4200.0,25,,0,Memória Ram Corsair Vengeance Ddr5 32gb (2x16gb) 4800mhz,https://www.mercadolivre.com.br/memoria-ram-corsair-vengeance-ddr5-32gb-2x16gb-4800mhz/p/MLB24562354#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=product&tracking_id=3c0bd438-a00d-4bd7-872a-44421a689b7b&wid=&sid=search,MLB24562354,10;3;4;6;9,Memória RAM Corsair Vengeance DDR5 de 32GB 6000MHz para PC || Memória Ram Corsair Vengeance Ddr5 32gb 2 X 16gb 5600mhz || Memória Ram Corsair Vengeance Ddr5 32gb (2x16gb) 5200mhz Amd || Memória Ram Pc Corsair Vengeance Ddr5 4800mhz 32gb (2x16gb) || Memória Ram Corsair Vengeance Ddr5 32gb (2x16gb) 4800mhz || Memória Ram Corsair Vengeance Ddr5 32gb (2x16gb) 6600mhz
